Partido,Dimensión,Categoría Tecnológica,Cita Textual de la Propuesta,Madurez
Partido del Buen Gobierno,Salud y Seguridad Alimentaria,Sistemas de Información y Software de Gestión,Publicación de precios de venta en el observatorio de precios. (Pág. 12),Instrumental
Partido del Buen Gobierno,Salud y Seguridad Alimentaria,Sistemas de Información y Software de Gestión,"Digitalización de 2,577 establecimientos de salud. (Pág. 12)",Programática
Partido del Buen Gobierno,"Educación, Ciencia y Tecnología (CTI)",Conectividad e Infraestructura Digital,"Promover el uso pedagógico de tecnologías digitales, materiales contextualizados e innovación educativa. (Pág. 14)",Declarativa
Partido del Buen Gobierno,"Educación, Ciencia y Tecnología (CTI)",Conectividad e Infraestructura Digital,"Cerrar las brechas de infraestructura educativa y digital, garantizando espacios educativos seguros, inclusivos, resilientes y dotados de conectividad. (Pág. 14)",Declarativa
Partido del Buen Gobierno,"Educación, Ciencia y Tecnología (CTI)",Conectividad e Infraestructura Digital,Asegurar la conectividad integral de todos los locales escolares e instituciones de educación superior. (Pág. 15),Programática
Partido del Buen Gobierno,"Educación, Ciencia y Tecnología (CTI)",Sistemas de Información y Software de Gestión,Digitalizar procesos de gestión educativa y promover plataformas de transparencia e interoperabilidad. (Pág. 15),Instrumental
Partido del Buen Gobierno,"Educación, Ciencia y Tecnología (CTI)",Conectividad e Infraestructura Digital,% de escuelas con conectividad e infraestructura digital: 100%. (Pág. 16),Programática
Partido del Buen Gobierno,"Educación, Ciencia y Tecnología (CTI)",Sistemas de Información y Software de Gestión,"Sistema Nacional de Información Educativa Unificado: Integración de los sistemas MINEDU, UGEL DRE para gestión en tiempo real. (Pág. 16)",Normativa/Estructurada
Partido del Buen Gobierno,"Seguridad Ciudadana, Defensa y Orden Interno",Inteligencia Artificial,Incorporación de herramientas de inteligencia artificial (IA) y macrodatos (Big data) para el análisis y la prevención del delito. (Pág. 17),Instrumental
Partido del Buen Gobierno,"Seguridad Ciudadana, Defensa y Orden Interno",Big Data y Analítica de Datos,"Implementar vigilancia estratégica con análisis de puntos críticos (""mapas del delito""). (Pág. 17)",Instrumental
Partido del Buen Gobierno,"Seguridad Ciudadana, Defensa y Orden Interno",Big Data y Analítica de Datos,"Uso intensivo de tecnología para el análisis delictivo, vigilancia y gestión de datos. (Pág. 18)",Instrumental
Partido del Buen Gobierno,"Seguridad Ciudadana, Defensa y Orden Interno","Hardware Avanzado, Robótica y Sensores (IoT)",Implementar sistemas de videovigilancia inteligentes en los municipios provinciales. (Pág. 19),Programática
Partido del Buen Gobierno,"Seguridad Ciudadana, Defensa y Orden Interno",Sistemas de Información y Software de Gestión,Digitalizar los mapas del delito y conectarlos a plataformas interoperables del Estado. (Pág. 19),Programática
Partido del Buen Gobierno,"Seguridad Ciudadana, Defensa y Orden Interno","Seguridad, Ciberdefensa y Tecnologías de Control",Consolidar un sistema penitenciario e inteligencia digital capaz de prevenir comunicaciones criminales. (Pág. 20),Programática
Partido del Buen Gobierno,"Seguridad Ciudadana, Defensa y Orden Interno",Big Data y Analítica de Datos,"Crear una Plataforma Nacional de Análisis Criminal (PNAC) que unifique datos de PNP, MP, INPE, SBS y OSIPTEL. (Pág. 21)",Normativa/Estructurada
Partido del Buen Gobierno,"Seguridad Ciudadana, Defensa y Orden Interno","Seguridad, Ciberdefensa y Tecnologías de Control","Incorporar sistemas de geolocalización avanzada, análisis de redes sociales y trazabilidad financiera en tiempo real. (Pág. 21)",Instrumental
Partido del Buen Gobierno,"Seguridad Ciudadana, Defensa y Orden Interno","Seguridad, Ciberdefensa y Tecnologías de Control",Implementar bloqueadores de señal al 100% de penales al 2028. (Pág. 21),Programática
Partido del Buen Gobierno,"Seguridad Ciudadana, Defensa y Orden Interno",Sistemas de Información y Software de Gestión,Fortalecer mecanismos de auditoría digital en seguridad y justicia. (Pág. 21),Instrumental
Partido del Buen Gobierno,"Seguridad Ciudadana, Defensa y Orden Interno",Sistemas de Información y Software de Gestión,Implementar el Registro Nacional de Funcionarios Sancionados por Colusión Criminal. (Pág. 21),Normativa/Estructurada
Partido del Buen Gobierno,"Seguridad Ciudadana, Defensa y Orden Interno",Big Data y Analítica de Datos,Implementar campañas de educación financiera y alerta digital contra el endeudamiento coercitivo. (Pág. 21),Instrumental
Partido del Buen Gobierno,"Seguridad Ciudadana, Defensa y Orden Interno",Big Data y Analítica de Datos,"Implementación de un tablero digital de alertas (tipo ""Alerta Extorsión Perú"") vinculado a la Línea 111 y la CUD 1818. (Pág. 22)",Programática
Partido del Buen Gobierno,"Seguridad Ciudadana, Defensa y Orden Interno","Seguridad, Ciberdefensa y Tecnologías de Control",100% de control tecnológico en penales y comunicaciones ilícitas. (Pág. 23),Programática
Partido del Buen Gobierno,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"Promover la interoperabilidad digital entre el Poder Judicial, el Ministerio Público, la Policía Nacional, el INPE, la Defensoría del Pueblo, el RENIEC y el Ministerio de Cultura. (Pág. 23-24)",Programática
Partido del Buen Gobierno,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"Consolidar plataformas electrónicas de gestión judicial, bases de datos abiertas y un portal único de acceso a la justicia. (Pág. 24)",Programática
Partido del Buen Gobierno,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,Establecer la interoperabilidad digital entre todas las instituciones de justicia. (Pág. 24),Normativa/Estructurada
Partido del Buen Gobierno,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"Implementar el Registro Nacional de Juzgados de Paz, Comunal y de Familia. (Pág. 24)",Normativa/Estructurada
Partido del Buen Gobierno,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,Desarrollar plataformas de datos abiertos y un portal único de acceso a la justicia. (Pág. 24),Programática
Partido del Buen Gobierno,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,Sistema Nacional de Indicadores de Justicia (SINAJUS): plataforma digital de monitoreo con actualización trimestral y reportes semestrales. (Pág. 26),Normativa/Estructurada
Partido del Buen Gobierno,"Seguridad Ciudadana, Defensa y Orden Interno",Sistemas de Información y Software de Gestión,Sistema nacional de alertas y monitoreo a agresores. (Pág. 27),Programática
Partido del Buen Gobierno,"Desarrollo Social, Trabajo y Cultura",Sistemas de Información y Software de Gestión,"Derecho a la lengua propia: plataforma de traducción interlenguas, traductores certificados, publicación de textos bilingües. (Pág. 32)",Instrumental
Partido del Buen Gobierno,"Desarrollo Social, Trabajo y Cultura",Sistemas de Información y Software de Gestión,Sistemas digitales de gestión cultural: Consolidar bases de datos y observatorios de cultura y patrimonio. (Pág. 32),Instrumental
Partido del Buen Gobierno,Economía y Sectores Productivos,Big Data y Analítica de Datos,"Diversificar la matriz energética... turismo, economía digital, data y analítica. (Pág. 33)",Declarativa
Partido del Buen Gobierno,Economía y Sectores Productivos,Big Data y Analítica de Datos,"Reforzar la fiscalización laboral y tributaria con tecnología, interoperabilidad y data analytics. (Pág. 34)",Instrumental
Partido del Buen Gobierno,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,Consolidar la facturación electrónica universal. (Pág. 35),Programática
Partido del Buen Gobierno,Economía y Sectores Productivos,Conectividad e Infraestructura Digital,"Universalizar y garantizar el acceso a la salud, educación y conectividad digital en el área urbana y rural. (Pág. 36)",Declarativa
Partido del Buen Gobierno,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,"Implementar un régimen nacional de Open Finance con APIs estandarizadas, haciendo responsable a la entidad financiera por la conducta de los proveedores. (Pág. 39)",Normativa/Estructurada
Partido del Buen Gobierno,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,"Ampliar la infraestructura digital financiera, incluyendo identificación biométrica, interoperabilidad y pagos digitales. (Pág. 39)",Instrumental
Partido del Buen Gobierno,Economía y Sectores Productivos,"Seguridad, Ciberdefensa y Tecnologías de Control","Crear el Sistema Nacional de Protección de Activos Críticos (SINAPAC), incluyendo ciberseguridad y continuidad operativa. (Pág. 39)",Normativa/Estructurada
Partido del Buen Gobierno,Economía y Sectores Productivos,Inteligencia Artificial,"IA y Big Data para evaluación de riesgo. Chatbots, automatización y atención digital. Omnicanalidad completa. (Pág. 40)",Instrumental
Partido del Buen Gobierno,Economía y Sectores Productivos,"Seguridad, Ciberdefensa y Tecnologías de Control",Prevención de fraude basada en machine learning. (Pág. 40),Instrumental
Partido del Buen Gobierno,Economía y Sectores Productivos,"Seguridad, Ciberdefensa y Tecnologías de Control",Certificaciones robustas de ciberseguridad. (Pág. 40),Instrumental
Partido del Buen Gobierno,"Desarrollo Social, Trabajo y Cultura","Educación, Ciencia y Tecnología (CTI)","Incrementar habilidades digitales, financieras y socioemocionales. (Pág. 43)",Declarativa
Partido del Buen Gobierno,"Desarrollo Social, Trabajo y Cultura",Sistemas de Información y Software de Gestión,Modernizar la plataforma y las oficinas del Servicio Público de Empleo. (Pág. 43),Instrumental
Partido del Buen Gobierno,"Desarrollo Social, Trabajo y Cultura",Sistemas de Información y Software de Gestión,Implementar el Sistema Integrado de Información del Mercado Laboral. (Pág. 43),Programática
Partido del Buen Gobierno,"Desarrollo Social, Trabajo y Cultura",Sistemas de Información y Software de Gestión,Crear unidades móviles y digitales de intermediación laboral rural. (Pág. 43),Programática
Partido del Buen Gobierno,"Desarrollo Social, Trabajo y Cultura",Sistemas de Información y Software de Gestión,Implementar el Sistema Nacional de Indicadores de Empleo Decente. (Pág. 44),Normativa/Estructurada
Partido del Buen Gobierno,"Desarrollo Social, Trabajo y Cultura",Sistemas de Información y Software de Gestión,Implementar un Registro Nacional del Trabajador Autoempleado (RENTAE). (Pág. 44),Normativa/Estructurada
Partido del Buen Gobierno,"Desarrollo Social, Trabajo y Cultura",Sistemas de Información y Software de Gestión,Ventanilla Única Digital del Autoempleo. (Pág. 45),Programática
Partido del Buen Gobierno,"Desarrollo Social, Trabajo y Cultura",Sistemas de Información y Software de Gestión,"Plataformas digitales de venta (Recomienda.pe, marketplaces). Incentivos para pagos electrónicos y QR. (Pág. 45)",Instrumental
Partido del Buen Gobierno,"Desarrollo Social, Trabajo y Cultura",Big Data y Analítica de Datos,Tablero digital de indicadores actualizado trimestralmente. (Pág. 46),Instrumental
Partido del Buen Gobierno,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,Ventanilla Única Digital para la Formalización. (Pág. 47),Programática
Partido del Buen Gobierno,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,Programa Exporta Digital MYPE... Capacitación en exportación digital. Acceso a marketplaces globales. (Pág. 47),Programática
Partido del Buen Gobierno,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,Plan Nacional de Transformación Digital MYPE... Plataformas de e-learning. (Pág. 47),Programática
Partido del Buen Gobierno,Economía y Sectores Productivos,Big Data y Analítica de Datos,Panel de control digital MYPE (dashboard nacional). (Pág. 50),Instrumental
Partido del Buen Gobierno,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,"Ampliar el acceso a mercados nacionales e internacionales, facilitando... la digitalización y el comercio justo. (Pág. 51)",Declarativa
Partido del Buen Gobierno,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,"Innovación y digitalización, con redes regionales de investigación y servicios digitales en red para el agro. (Pág. 51)",Instrumental
Partido del Buen Gobierno,Economía y Sectores Productivos,"Hardware Avanzado, Robótica y Sensores (IoT)","Uso de plataformas digitales para gestionar el desarrollo, información satelital, registro de datos... (Pág. 53)",Instrumental
Partido del Buen Gobierno,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,Plataforma digital integrada de trazabilidad del oro y otros minerales. (Pág. 54),Programática
Partido del Buen Gobierno,Economía y Sectores Productivos,Tecnologías de Confianza Distribuida (DLT),100% cobertura de trazabilidad electrónica. (Pág. 54),Programática
Partido del Buen Gobierno,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,Sistema Nacional de Monitoreo Minero (SINAMIM): plataforma digital de acceso público... (Pág. 54),Normativa/Estructurada
Partido del Buen Gobierno,Economía y Sectores Productivos,Automatización e Interfaces (Chatbots),"Crear incentivos para inversión en automatización, digitalización y transición energética. (Pág. 55)",Instrumental
Partido del Buen Gobierno,Economía y Sectores Productivos,Biotecnología y Tecnologías Especializadas,"Promover sectores de alta tecnología: biotecnología, agroindustria avanzada, manufactura 4.0. (Pág. 55)",Declarativa
Partido del Buen Gobierno,"Educación, Ciencia y Tecnología (CTI)",Sistemas de Información y Software de Gestión,"Programa nacional de ciencia abierta y datos localizables, accesibles, interoperables y reutilizables (FAIR)... (Pág. 58)",Programática
Partido del Buen Gobierno,"Educación, Ciencia y Tecnología (CTI)",Sistemas de Información y Software de Gestión,Plataforma de ciencia ciudadana con participación de comunidades rurales. (Pág. 58),Instrumental
Partido del Buen Gobierno,"Educación, Ciencia y Tecnología (CTI)",Sistemas de Información y Software de Gestión,Programas de transformación digital y economía circular en Pymes. (Pág. 58),Programática
Partido del Buen Gobierno,"Educación, Ciencia y Tecnología (CTI)",Sistemas de Información y Software de Gestión,Impulsar una plataforma nacional interoperable de información sobre CTI para orientar decisiones basadas en evidencia. (Pág. 58),Instrumental
Partido del Buen Gobierno,"Educación, Ciencia y Tecnología (CTI)",Sistemas de Información y Software de Gestión,Plataforma de acceso universal a contenidos de CTI y cursos virtuales masivos de libre acceso (MOOCs). (Pág. 59),Programática
Partido del Buen Gobierno,"Desarrollo Territorial, Vivienda y Agua",Sistemas de Información y Software de Gestión,"Implementar un Sistema Nacional de Información Territorial, que integre datos de planificación, brechas, inversión, riesgos y estadísticas regionales. (Pág. 61)",Normativa/Estructurada
Partido del Buen Gobierno,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,Crear un Registro Único de Obras Paralizadas y un sistema de alertas tempranas. (Pág. 62),Normativa/Estructurada
Partido del Buen Gobierno,Conectividad e Infraestructura Digital,Big Data y Analítica de Datos,"Impulsar la digitalización y la logística 4.0, integrando tecnologías de conectividad y gestión inteligente. (Pág. 66)",Declarativa
Partido del Buen Gobierno,Conectividad e Infraestructura Digital,Sistemas de Información y Software de Gestión,"90% digitalizados, 5 plataformas nacionales plataformas logísticas inteligentes operativas. (Pág. 66)",Programática
Partido del Buen Gobierno,"Desarrollo Territorial, Vivienda y Agua",Sistemas de Información y Software de Gestión,Uso del Sistema de Información de Agua y Saneamiento (SIAS) y observatorios urbanos. (Pág. 69),Instrumental
Partido del Buen Gobierno,"Sostenibilidad, Energía y Ambiente",Energías Limpias y Tecnologías Ambientales (GreenTech),Impulsar redes inteligentes (smart grids) y generación distribuida incluyendo poblaciones aisladas con mini redes de energía solar en la Amazonia. (Pág. 70),Instrumental
Partido del Buen Gobierno,"Sostenibilidad, Energía y Ambiente",Big Data y Analítica de Datos,"Implementar la Plataforma Digital de Monitoreo Energético, con datos abiertos en tiempo real. (Pág. 70)",Programática
Partido del Buen Gobierno,Conectividad e Infraestructura Digital,Conectividad e Infraestructura Digital,Garantizar la conectividad universal... población... acceda a servicios de telecomunicaciones... (Pág. 72),Declarativa
Partido del Buen Gobierno,Conectividad e Infraestructura Digital,Conectividad e Infraestructura Digital,"Conectar a los centros poblados rurales y amazónicos... mediante soluciones tecnológicas adecuadas (fibra óptica, microondas, satélite). (Pág. 72)",Instrumental
Partido del Buen Gobierno,Conectividad e Infraestructura Digital,Conectividad e Infraestructura Digital,"Desarrollar una red nacional de conectividad integrada por fibra óptica, estaciones móviles y un satélite de comunicaciones propio que garantice autonomía tecnológica y resiliencia ante emergencias. (Pág. 72)",Programática
Partido del Buen Gobierno,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"Promover la virtualización total de los procesos del Estado, interconectando sus instituciones mediante una intranet pública nacional y soluciones de software interoperable y estandarizado. (Pág. 72)",Normativa/Estructurada
Partido del Buen Gobierno,Conectividad e Infraestructura Digital,Conectividad e Infraestructura Digital,"Culminar, modernizar y poner en operación efectiva la Red Dorsal Nacional de Fibra Óptica (RDNFO) y las redes regionales. (Pág. 73)",Programática
Partido del Buen Gobierno,Conectividad e Infraestructura Digital,Conectividad e Infraestructura Digital,Impulsar la adquisición y puesta en órbita de un satélite nacional de telecomunicaciones. (Pág. 73),Programática
Partido del Buen Gobierno,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,Desarrollar e implantar software estandarizado y plataformas de servicio en línea en todas las entidades públicas. (Pág. 73),Instrumental
Partido del Buen Gobierno,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"Garantizar que toda norma, ley o procedimiento tenga una implementación digital simultánea. (Pág. 73)",Normativa/Estructurada
Partido del Buen Gobierno,"Desarrollo Territorial, Vivienda y Agua",Sistemas de Información y Software de Gestión,"Promover plataformas de gestión urbana integradas, transporte inteligente y servicios públicos digitales. (Pág. 73)",Declarativa
Partido del Buen Gobierno,"Seguridad Ciudadana, Defensa y Orden Interno",Sistemas de Información y Software de Gestión,"Integrar a todas las instituciones públicas clave (PNP, FF. AA., gobiernos locales) en una única red segura de comunicaciones. (Pág. 73)",Programática
Partido del Buen Gobierno,Gobernanza y Transformación Digital del Estado,Tecnologías de Confianza Distribuida (DLT),"Utilizar la trazabilidad digital para la transparencia de compras públicas, servicios y trámites administrativos. (Pág. 73)",Instrumental
Partido del Buen Gobierno,"Sostenibilidad, Energía y Ambiente","Hardware Avanzado, Robótica y Sensores (IoT)",Infraestructura de monitoreo y alerta temprana. (Pág. 75),Instrumental
Partido del Buen Gobierno,"Sostenibilidad, Energía y Ambiente",Energías Limpias y Tecnologías Ambientales (GreenTech),"La economía opera con un uso intensivo de energías y tecnologías limpias, promoviendo el hidrógeno verde y la economía circular. (Pág. 76)",Declarativa
Partido del Buen Gobierno,"Sostenibilidad, Energía y Ambiente","Hardware Avanzado, Robótica y Sensores (IoT)",Integrar sistemas de monitoreo satelital y vigilancia comunitaria para control territorial. (Pág. 82),Instrumental
Partido del Buen Gobierno,"Sostenibilidad, Energía y Ambiente",Biotecnología y Tecnologías Especializadas,"Impulsar bionegocios y la bioeconomía amazónica a través de innovación, biotecnología... (Pág. 82)",Declarativa
Partido del Buen Gobierno,"Sostenibilidad, Energía y Ambiente",Sistemas de Información y Software de Gestión,"Implementación de un Sistema Amazónico de Monitoreo, Reporte y Verificación (MRV) para bosques, producción sostenible y emisiones. (Pág. 84)",Programática
Partido del Buen Gobierno,"Seguridad Ciudadana, Defensa y Orden Interno","Seguridad, Ciberdefensa y Tecnologías de Control",Consolidar la protección de los Activos Críticos Nacionales (ACN) mediante la creación y operación del Sistema Nacional de Protección de Activos Críticos (SINAPAC). (Pág. 87),Normativa/Estructurada
Partido del Buen Gobierno,"Gestión de Riesgos, Desastres y Resiliencia","Hardware Avanzado, Robótica y Sensores (IoT)",Desarrollar un Sistema Nacional de Alerta Temprana Multiamenaza interoperable con las redes regionales. (Pág. 87),Programática
Partido del Buen Gobierno,"Gestión de Riesgos, Desastres y Resiliencia",Big Data y Analítica de Datos,Implementar un Centro Nacional de Datos y Análisis de Riesgos (CENADAR). (Pág. 87),Normativa/Estructurada
Partido del Buen Gobierno,"Gestión de Riesgos, Desastres y Resiliencia","Seguridad, Ciberdefensa y Tecnologías de Control","Incorporar estándares internacionales de ciberseguridad y continuidad digital (ISO 22301, NIST). (Pág. 87)",Normativa/Estructurada
Partido del Buen Gobierno,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"Lograr que contrataciones, obras públicas, compras y recursos humanos sean 100% digitales, trazables y fiscalizables. (Pág. 88)",Declarativa
Partido del Buen Gobierno,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,Consolidar un Sistema Nacional de Integridad y Buen Gobierno interoperable y basado en datos. (Pág. 89),Normativa/Estructurada
Partido del Buen Gobierno,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,Contrataciones públicas 100% digitales y abiertas por defecto. Registro Único de Obras y Compras del Perú (RUOCP). (Pág. 89),Programática
Partido del Buen Gobierno,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,Auditoría digital continua y control concurrente reforzado. (Pág. 89),Instrumental
Partido del Buen Gobierno,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"Plataforma ""Estado Íntegro Perú 2031"": trazabilidad desde el presupuesto hasta la ejecución. (Pág. 89)",Programática
Partido del Buen Gobierno,Gobernanza y Transformación Digital del Estado,Inteligencia Artificial,Inteligencia artificial para detección de riesgos. (Pág. 89),Instrumental
Partido del Buen Gobierno,Gobernanza y Transformación Digital del Estado,Big Data y Analítica de Datos,Publicación de un dashboard nacional de integridad. (Pág. 90),Instrumental
Partido del Buen Gobierno,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"Portal ""Vigila tu Obra"" para seguimiento comunitario. (Pág. 91)",Programática
Partido del Buen Gobierno,"Seguridad Ciudadana, Defensa y Orden Interno",Conectividad e Infraestructura Digital,Renovar la capacidad satelital (PerúSAT-1). (Pág. 91),Programática
Partido del Buen Gobierno,"Seguridad Ciudadana, Defensa y Orden Interno",Conectividad e Infraestructura Digital,Promover un nuevo satélite de telecomunicaciones y consolidar el liderazgo espacial del Perú. (Pág. 91),Declarativa
Partido del Buen Gobierno,"Seguridad Ciudadana, Defensa y Orden Interno",Sistemas de Información y Software de Gestión,"Sistema de Indicadores de Seguridad y Defensa Nacional, integrado al SINADEF y alineado al PEDN 2050. (Pág. 92)",Normativa/Estructurada
Partido del Buen Gobierno,"Seguridad Ciudadana, Defensa y Orden Interno",Big Data y Analítica de Datos,"Uso de herramientas tecnológicas como el Observatorio de Defensa Nacional, con acceso público a indicadores de desempeño. (Pág. 93)",Instrumental
Partido del Buen Gobierno,Relaciones Internacionales y Migración,Sistemas de Información y Software de Gestión,Digitalizar el 100% de los servicios consulares esenciales. (Pág. 94),Programática
Partido del Buen Gobierno,Relaciones Internacionales y Migración,Inteligencia Artificial,"Establecer alianzas para la transferencia de tecnología en IA, ciberseguridad y biotecnología. (Pág. 94)",Instrumental
Partido del Buen Gobierno,Relaciones Internacionales y Migración,"Seguridad, Ciberdefensa y Tecnologías de Control",Implementar el Sistema de Vigilancia Amazónico (SIVAM). (Pág. 95),Programática
Alianza Venceremos,"Seguridad Ciudadana, Defensa y Orden Interno","Hardware Avanzado, Robótica y Sensores (IoT)","Implementación de herramientas tecnológicas de vanguardia para la lucha contra el crimen, con énfasis en la captura de los líderes criminales. (Pág. 15)",Instrumental
Alianza Venceremos,Conectividad e Infraestructura Digital,Conectividad e Infraestructura Digital,"Priorizaremos cerrar las brechas de inversión y mantenimiento en caminos rurales, infraestructura de riego, riego tecnificado, electrificación rural, y conectividad a internet. (Pág. 21)",Programmatic
Alianza Venceremos,Economía y Sectores Productivos,Biotecnología y Tecnologías Especializadas,"Convocamos a los productores agrarios a trabajar por justicia territorial, acceder a financiamiento soberano y tecnología para transformar la megadiversidad con valor agregado... (Pág. 22)",Declarativa
Alianza Venceremos,Economía y Sectores Productivos,Biotecnología y Tecnologías Especializadas,"Incrementaremos en 300,000 ha el riego tecnificado para agricultura familiar, e implementaremos riego tecnificado en 100,000 ha adicionales, recuperaremos al menos 120,000 ha. revalorando tecnologías y sistemas ancestrales. (Pág. 22)",Programmatic
Alianza Venceremos,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,Gran impulso a la producción campesina y comunera mediante la innovación y servicios tecnológicos. (Pág. 23),Declarativa
Alianza Venceremos,Economía y Sectores Productivos,Biotecnología y Tecnologías Especializadas,Impulsaremos la industrialización y transformación de la producción agropecuaria para darle mayor valor agregado y conquistar nuevos y mejores mercados con 500 Centros de Acopio y Transformación Modular (público-comunitarios) y Biofábricas Industriales de fertilizantes orgánicos. (Pág. 23-24),Programmatic
Alianza Venceremos,"Educación, Ciencia y Tecnología (CTI)",Sistemas de Información y Software de Gestión,"...reestructurando 200 Agencias Agrarias Territoriales articuladas al MIDAGRI, para asegurar su rol de extensión tecnológica y asistencia técnica masiva e intercultural, avanzando a un 100% de cobertura. (Pág. 24)",Programmatic
Alianza Venceremos,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,Priorizaremos los futuros otorgamientos de concesiones a las empresas que acepten condiciones de transferencia tecnológica y compensación industrial. (Pág. 25),Normativa/Estructurada
Alianza Venceremos,Economía y Sectores Productivos,"Hardware Avanzado, Robótica y Sensores (IoT)","Realizar una actualización tecnológica / operativa de las balanzas en las plantas de harina de pescado, su calibración y envío encriptada y autónoma de la información a PRODUCE. (Pág. 29)",Instrumental
Alianza Venceremos,Economía y Sectores Productivos,"Hardware Avanzado, Robótica y Sensores (IoT)",Monitoreo satelital para la protección de los recursos dentro de las 3 millas. (Pág. 29),Instrumental
Alianza Venceremos,Economía y Sectores Productivos,Biotecnología y Tecnologías Especializadas,Fortalecer técnica y operacionalmente la pequeña acuicultura altoandina y amazónica. Reorientar los programas de innovación existentes que les permitan obtener resultados que perduren. (Pág. 29),Declarativa
Alianza Venceremos,"Desarrollo Social, Trabajo y Cultura",Sistemas de Información y Software de Gestión,"...nuestra alternativa al respecto es impulsar y concertar un nuevo pacto social, políticas públicas de empleo y procesos políticos, económicos, sociales, culturales y tecnológicos, con enfoque de Revolución Productiva... (Pág. 30)",Declarativa
Alianza Venceremos,Conectividad e Infraestructura Digital,Energías Limpias y Tecnologías Ambientales (GreenTech),"Implementaremos una política de subsidios para incorporar 10,000 buses eléctricos en cinco años (5,000 para Lima y 5,000 para las ocho ciudades más grandes). (Pág. 34)",Programmatic
Alianza Venceremos,"Sostenibilidad, Energía y Ambiente",Energías Limpias y Tecnologías Ambientales (GreenTech),"Promoveremos soluciones sobre la base de energía solar (fotovoltaica) con inversión privada a través de asociaciones público-privadas (APP) autosustentables o cofinanciadas, para asegurar el cierre de la brecha de electrificación rural. (Pág. 36)",Instrumental
Alianza Venceremos,Gobernanza y Transformación Digital del Estado,Conectividad e Infraestructura Digital,El viceministerio de Telecomunicaciones será un Vice Ministerio de Comunicaciones y TIC. Formularemos una Política Nacional de Comunicaciones. (Pág. 36),Normativa/Estructurada
Alianza Venceremos,Conectividad e Infraestructura Digital,Conectividad e Infraestructura Digital,"En materia de telecomunicaciones e internet, incrementaremos de 58.4% a 85% el número de hogares peruanos a través de proyectos formulados por PRONATEL o por proyectos combinados de vías rurales e internet. (Pág. 36)",Programmatic
Alianza Venceremos,Conectividad e Infraestructura Digital,Conectividad e Infraestructura Digital,Elevaremos el porcentaje de hogares rurales con internet hasta un 80%. (Pág. 36),Programmatic
Alianza Venceremos,"Educación, Ciencia y Tecnología (CTI)",Conectividad e Infraestructura Digital,"Aseguraremos, provisión de energía e internet en todos los colegios para asegurar la transformación digital de la educación pública peruana en todo el país. (Pág. 36)",Programmatic
Alianza Venceremos,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,Impulsamos la Transformación Digital en el país poniendo las infraestructuras y los servicios de telecomunicaciones al servicio de dicho objetivo. (Pág. 37),Declarativa
Alianza Venceremos,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,"Así, lograremos mejoras para sectores como la pequeña agricultura que podrá acceder al sistema financiero y optimizar sus procesos de comercialización accediendo a plataformas digitales en línea. (Pág. 37)",Instrumental
Alianza Venceremos,"Educación, Ciencia y Tecnología (CTI)",Sistemas de Información y Software de Gestión,Apostamos por el desarrollo de las TIC para la mayor producción de las Telecomunicaciones y su aporte al PBI. (Pág. 37),Declarativa
Alianza Venceremos,"Desarrollo Social, Trabajo y Cultura",Sistemas de Información y Software de Gestión,Implementaremos medidas para acortar las brechas digitales en relación a hombres-mujeres y poblaciones indígenas. (Pág. 37),Declarativa
